set_code,set_name,company,cat_ref,imAge_A,image_ext,has_back_image,jurisdiction,jurisdiction_type,year,serial_number,width_inches,height_inches,value_mt,value_ex,value_vg,value_g,value_fr,value_po,variety_key,variety_notes,state_embossed,legend_embossed,notes,sort_order
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,CHN,png,1,China,foreign,1968,,2.75,1,2,1.5,1,0.75,,,d,Rev. # 5 - Rombouts Silver Back,n,0,Plate #48,56900
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,CHN,png,1,China,foreign,1968,,2.75,1,2,1.5,1,0.75,,,e,Rev. # 6 - Rombouts White Back,n,0,Plate #48,57000
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,CHN,png,1,China,foreign,1968,,2.75,1,2,1.5,1,0.75,,,f,Rev. # 7 - White Back - La vache qui rit (Laughing Cow),n,0,Plate #48,57100
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,CHN,png,1,China,foreign,1968,,2.75,1,2,1.5,1,0.75,,,g,Rev. # 8 - Silver Back - La vache qui rit (Laughing Cow),n,0,Plate #48,57200
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,CHN,png,1,China,foreign,1968,,2.75,1,2,1.5,1,0.75,,,h,Rev. # 9 - Star Blanc (Italian),n,0,Plate #48,57300
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,CHN,png,1,China,foreign,1968,,2.75,1,2,1.5,1,0.75,,,i,Rev. # 10 - Jacques Chocolate,n,0,Plate #48,57400
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,CHN,png,1,China,foreign,1968,,2.75,1,2,1.5,1,0.75,,,j,Rev. # 11 - Marcassou-Ardenne Salami,n,0,Plate #48,57500
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,CHN,png,1,China,foreign,1968,,2.75,1,2,1.5,1,0.75,,,k,Rev. # 12 - no advertising,n,0,Plate #48,57600
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ARU,png,1,Aruba,foreign,1968,,2.75,1,2,1.5,1,0.75,,,base,Rev. # 1 - Maple Leaf (verkijgbaar bij),n,0,Plate #49,57700
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ARU,png,1,Aruba,foreign,1968,,2.75,1,2,1.5,1,0.75,,,a,Rev. # 2 - Maple Leaf + Pepsi,n,0,Plate #49,57800
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ARU,png,1,Aruba,foreign,1968,,2.75,1,2,1.5,1,0.75,,,b,Rev. # 3 - Maple Leaf + Pepsi + Heinz,n,0,Plate #49,57900
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ARU,png,1,Aruba,foreign,1968,,2.75,1,2,1.5,1,0.75,,,c,Rev. # 4 - Maple Leaf ONLY,n,0,Plate #49,58000
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ARU,png,1,Aruba,foreign,1968,,2.75,1,2,1.5,1,0.75,,,d,Rev. # 5 - Rombouts Silver Back,n,0,Plate #49,58100
m68,1968 Maple Leaf License Plates,Amsterdamse kauwgomfabriek Maple Leaf,,ARU,png,1,Aruba,foreign,1968,,2.75,1,2,1.5,1,0.75,,,e,Rev. # 6 - Rombouts White Back,n,0,Plate #49,58200
